Type,Name,Description,Purchase Price,Vendor,Image Name,Image Link
Inventory Item,2001,MIDDLE BUCKET SEAT - DS - DUAL ARM RESTS WITH HARD SKIRT COLOR: BLACK (AUSTIN OPTIM) W/ PEWTER (ABERDEEN OPTIM) PIPING W/ BLACK PERF INSERTS,"1,095.00","2560 Premier Products, Inc.",2001-black-pewter.jpg,https://3461249.app.netsuite.com/core/media/media.nl?id=883564&c=3461249&h=39RnlgsC-TxyshEs-u_sDv2nQ7XPtsXkFIYYILOZ1GhkuxQF
Inventory Item,2001-NA,MIDDLE BUCKET SEAT - DS - NO ARM RESTS WITH HARD SKIRT COLOR: BLACK SOLID W/ PEWTER PIPING W/ BLACK PERF INSERTS,"1,035.00","2560 Premier Products, Inc.",2001-black-pewter.jpg,https://3461249.app.netsuite.com/core/media/media.nl?id=883564&c=3461249&h=39RnlgsC-TxyshEs-u_sDv2nQ7XPtsXkFIYYILOZ1GhkuxQF
Inventory Item,2001-SHP,MIDDLE BUCKET SEAT - DS - DUAL ARM RESTS WITH HARD SKIRT COLOR: BLACK (AUSTIN OPTIM) W/ PEWTER (ABERDEEN OPTIM) PIPING W/ BLACK PERF INSERTS,"1,095.00","2560 Premier Products, Inc.",2001-black-pewter.jpg,https://3461249.app.netsuite.com/core/media/media.nl?id=883564&c=3461249&h=39RnlgsC-TxyshEs-u_sDv2nQ7XPtsXkFIYYILOZ1GhkuxQF
Inventory Item,2002,MIDDLE BUCKET SEAT - DS - DUAL ARM RESTS WITH HARD SKIRT COLOR: QUICKSILVER (AUSTIN MEDIUM GRAPHITE) W/ MEDIUM ALABASTER (ABERDEEN) PIPING W/ QUICKSILVER PERF INSERTS,"1,095.00","2560 Premier Products, Inc.",2002-quicksilver-mediumAlabaster.jpg,https://3461249.app.netsuite.com/core/media/media.nl?id=883563&c=3461249&h=aBv-8pfwXCcZNjIiXucfZOgTXq2LFpu41z9ViOZbh6nQx15W
Inventory Item,2002-NA,MIDDLE BUCKET SEAT - DS - NO ARM RESTS WITH HARD SKIRT COLOR: GRAPHITE W/ ALABASTER PIPING W/ GRAPHITE PERF INSERTS,0,"2560 Premier Products, Inc.",2002-quicksilver-mediumAlabaster.jpg,https://3461249.app.netsuite.com/core/media/media.nl?id=883563&c=3461249&h=aBv-8pfwXCcZNjIiXucfZOgTXq2LFpu41z9ViOZbh6nQx15W
Inventory Item,2002-SHP,MIDDLE BUCKET SEAT - DS - DUAL ARM RESTS WITH HARD SKIRT COLOR: QUICKSILVER (AUSTIN MEDIUM GRAPHITE) W/ MEDIUM ALABASTER (ABERDEEN) PIPING W/ QUICKSILVER PERF INSERTS,"1,095.00","2560 Premier Products, Inc.",2002-quicksilver-mediumAlabaster.jpg,https://3461249.app.netsuite.com/core/media/media.nl?id=883563&c=3461249&h=aBv-8pfwXCcZNjIiXucfZOgTXq2LFpu41z9ViOZbh6nQx15W
Inventory Item,2003,MIDDLE BUCKET SEAT - DS - DUAL ARM RESTS WITH HARD SKIRT COLOR: PEWTER (ABERDEEN OPTIM) W/ BLACK (AUSTIN OPTIM) PIPING W/ PEWTER PERF INSERTS,"1,095.00","2560 Premier Products, Inc.",maybach-pewter.jpg,https://3461249.app.netsuite.com/core/media/media.nl?id=866278&c=3461249&h=dleBLuLVaf3vdo13M99DgkwXOoOGrf5i1nQJN-l3wU-WUx9S
Inventory Item,2003-NA,MIDDLE BUCKET SEAT - DS - NO ARM RESTS WITH HARD SKIRT COLOR: PEWTER W/ PEWTER PIPING W/ PEWTER PERF INSERTS,0,"2560 Premier Products, Inc.",maybach-pewter.jpg,https://3461249.app.netsuite.com/core/media/media.nl?id=866278&c=3461249&h=dleBLuLVaf3vdo13M99DgkwXOoOGrf5i1nQJN-l3wU-WUx9S
Inventory Item,2003-SHP,MIDDLE BUCKET SEAT - DS - DUAL ARM RESTS WITH HARD SKIRT PEWTER (ABERDEEN OPTIM) W/ BLACK (AUSTIN OPTIM) PIPING W/ PEWTER PERF INSERTS,"1,095.00","2560 Premier Products, Inc.",maybach-pewter.jpg,https://3461249.app.netsuite.com/core/media/media.nl?id=866278&c=3461249&h=dleBLuLVaf3vdo13M99DgkwXOoOGrf5i1nQJN-l3wU-WUx9S
Inventory Item,2004,MIDDLE BUCKET SEAT - DS - DUAL ARM RESTS WITH HARD SKIRT COLOR: MEDIUM NEUTRAL W/ NEUTRAL PIPING W/ NEUTRAL PERF INSERTS,"1,095.00","2560 Premier Products, Inc.",2004-mediumNeutral-neutral.jpg,https://3461249.app.netsuite.com/core/media/media.nl?id=883565&c=3461249&h=Mc6v5TWH4m9vWOFzTyGTouvvSWN3boOiP2uDe47WKMa6u9xV
